[13:51:04] [13:51:04] $ bun dev
[13:51:04] $ next dev
[13:51:04] ▲ Next.js 16.2.10 (Turbopack)
[13:51:04] - Local:         http://localhost:3000
[13:51:04] - Network:       http://172.20.10.2:3000
[13:51:04] ✓ Ready in 445ms
[13:51:07]  GET / 200 in 2.2s (next.js: 152ms, application-code: 2.0s)
[13:51:10]  GET / 200 in 416ms (next.js: 5ms, application-code: 411ms)
[13:51:13]  GET /sw.js 404 in 81ms (next.js: 27ms, application-code: 54ms)
[13:51:38]  GET / 200 in 658ms (next.js: 6ms, application-code: 652ms)
[13:51:42]  GET /sw.js 404 in 64ms (next.js: 8ms, application-code: 55ms)
[13:52:40]  GET /changelog 200 in 360ms (next.js: 325ms, application-code: 35ms)
[13:52:49]  GET /docs 200 in 509ms (next.js: 468ms, generate-params: 435ms, application-code: 41ms)
[13:52:56]  GET / 200 in 6.2s (next.js: 4ms, application-code: 6.2s)
[13:53:34]  GET / 200 in 2.3s (next.js: 5ms, application-code: 2.3s)
[13:53:34]  GET / 200 in 2.3s (next.js: 4ms, application-code: 2.3s)
[13:53:34]  GET / 200 in 2.4s (next.js: 4ms, application-code: 2.4s)
[13:53:34]  GET / 200 in 2.6s (next.js: 96ms, application-code: 2.5s)
[13:53:34]  GET / 200 in 2.4s (next.js: 5ms, application-code: 2.4s)
[13:53:45]  GET / 200 in 5.3s (next.js: 82ms, application-code: 5.2s)
[13:53:45]  GET / 200 in 5.1s (next.js: 5ms, application-code: 5.1s)
[13:53:45]  GET / 200 in 5.1s (next.js: 4ms, application-code: 5.1s)
[13:53:45]  GET / 200 in 5.3s (next.js: 3ms, application-code: 5.3s)
[13:53:45]  GET / 200 in 5.3s (next.js: 4ms, application-code: 5.3s)
[13:55:00] ✓ Compiled in 106ms
[13:55:05]  GET / 200 in 4.4s (next.js: 4ms, application-code: 4.4s)
[13:55:05]  GET / 200 in 4.6s (next.js: 117ms, application-code: 4.5s)
[13:55:05]  GET / 200 in 4.3s (next.js: 3ms, application-code: 4.3s)
[13:55:05]  GET / 200 in 4.4s (next.js: 3ms, application-code: 4.4s)
[13:55:05]  GET / 200 in 4.3s (next.js: 3ms, application-code: 4.3s)
[13:55:05]  GET / 200 in 4.4s (next.js: 6ms, application-code: 4.4s)
[13:55:05]  GET / 200 in 343ms (next.js: 6ms, application-code: 337ms)
[13:55:05]  GET / 200 in 298ms (next.js: 5ms, application-code: 294ms)
[13:55:05]  GET / 200 in 269ms (next.js: 5ms, application-code: 264ms)
[13:55:05]  GET / 200 in 361ms (next.js: 5ms, application-code: 357ms)
[13:55:05]  GET / 200 in 308ms (next.js: 4ms, application-code: 303ms)
[13:55:37] ✓ Compiled in 43ms
[13:55:39]  GET / 200 in 1537ms (next.js: 93ms, application-code: 1443ms)
[13:55:39]  GET / 200 in 1474ms (next.js: 3ms, application-code: 1471ms)
[13:55:39]  GET / 200 in 1449ms (next.js: 3ms, application-code: 1445ms)
[13:55:39]  GET / 200 in 1587ms (next.js: 4ms, application-code: 1583ms)
[13:55:39]  GET / 200 in 1695ms (next.js: 5ms, application-code: 1690ms)
[13:56:43]  GET /docs/manifest-reference 200 in 142ms (next.js: 94ms, generate-params: 8ms, application-code: 48ms)
[13:57:13]  GET /sw.js 404 in 238ms (next.js: 83ms, application-code: 156ms)
[13:57:42]  GET / 200 in 460ms (next.js: 4ms, application-code: 456ms)
[13:57:42]  GET / 200 in 619ms (next.js: 113ms, application-code: 507ms)
[13:57:44]  GET / 200 in 220ms (next.js: 5ms, application-code: 214ms)
[13:57:44]  GET / 200 in 379ms (next.js: 100ms, application-code: 279ms)
[13:57:52]  GET / 200 in 589ms (next.js: 3ms, application-code: 586ms)
[13:57:52]  GET / 200 in 3.2s (next.js: 90ms, application-code: 3.1s)
[13:57:52]  GET / 200 in 3.1s (next.js: 4ms, application-code: 3.1s)
[13:57:52]  GET / 200 in 711ms (next.js: 75ms, application-code: 636ms)
[13:57:55]  GET / 200 in 193ms (next.js: 3ms, application-code: 190ms)
[13:57:55]  GET / 200 in 324ms (next.js: 90ms, application-code: 234ms)
[13:57:58]  GET / 200 in 322ms (next.js: 4ms, application-code: 318ms)
[13:57:58]  GET / 200 in 437ms (next.js: 76ms, application-code: 361ms)
[13:58:06]  GET / 200 in 3.4s (next.js: 72ms, application-code: 3.3s)
[13:58:06]  GET / 200 in 3.3s (next.js: 4ms, application-code: 3.3s)
[13:58:10]  GET / 200 in 289ms (next.js: 4ms, application-code: 285ms)
[13:58:10]  GET / 200 in 438ms (next.js: 92ms, application-code: 346ms)
[13:58:13]  GET / 200 in 299ms (next.js: 84ms, application-code: 215ms)
[13:58:13]  GET / 200 in 179ms (next.js: 5ms, application-code: 174ms)
[13:58:13]  GET / 200 in 313ms (next.js: 4ms, application-code: 310ms)
[13:58:13]  GET / 200 in 287ms (next.js: 3ms, application-code: 284ms)
[13:58:13]  GET / 200 in 300ms (next.js: 3ms, application-code: 297ms)
[13:59:12]  GET /plugins/minecraft_java 200 in 1201ms (next.js: 1075ms, generate-params: 613ms, application-code: 126ms)
[13:59:12]  GET /plugins/minecraft_java 200 in 119ms (next.js: 13ms, generate-params: 9ms, application-code: 107ms)
[13:59:12]  GET /plugins/discord_bot 200 in 55ms (next.js: 5ms, generate-params: 22µs, application-code: 50ms)
